Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-11-22 09:25 (-08),Live,Tunde Oyeneyin,20,Cycling,Intervals,20 min Tabata Ride,2021-11-20 09:39 (-08),235,195,52%,77,20.77,6.93,335,,,
2021-11-27 20:10 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-11-06 08:38 (PST),,,,,,,,60.16,,
2021-11-29 19:51 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-06-17 07:00 (PST),,,,,,,,,,
2021-12-01 19:53 (PST),On Demand,Chelsea Jackson Roberts,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-04-27 07:00 (PST),,,,,,,,,,
2021-12-02 19:55 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-02-02 08:00 (PST),,,,,,,,,,
2021-12-04 19:42 (PST),On Demand,Ross Rayburn,10,Meditation,Emotions,10 min Kindness Meditation,2021-12-02 07:09 (PST),,,,,,,,,,
2021-12-04 20:12 (PST),On Demand,Ross Rayburn,10,Meditation,Emotions,10 min Kindness Meditation,2021-12-02 07:09 (PST),,,,,,,,,,
2021-12-05 20:04 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-09-04 07:00 (PST),,,,,,,,,,
2021-12-10 19:54 (PST),On Demand,Aditi Shah,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-12-08 07:00 (PST),,,,,,,,,,
2021-12-14 19:58 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-12-11 08:36 (PST),,,,,,,,,,
2021-12-26 20:21 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-04-27 05:36 (PST),,,,,,,,,,
2021-12-29 20:19 (PST),,,0,Cycling,,23 sec Just Ride,,4,142,69%,46,17.19,0.12,5,,,
2021-12-29 20:48 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-03-04 07:00 (PST),,,,,,,,,,
2022-01-02 17:20 (-08),Live,Cody Rigsby,20,Cycling,Music,20 min Pop Ride,2021-12-27 08:00 (-08),218,181,48%,83,20.26,6.76,309,,,
2022-01-02 20:00 (PST),On Demand,Aditi Shah,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-11-06 07:00 (PST),,,,,,,,,,
2022-01-03 16:20 (-08),Live,Alex Toussaint,20,Cycling,Intervals,20 min HIIT Ride,2021-12-28 06:23 (-08),213,177,46%,86,19.94,6.65,302,,,
2022-01-04 16:32 (-08),On Demand,Leanne Hainsby,20,Cycling,Music,20 min 90s Hip Hop Ride,2021-11-30 22:25 (-08),176,146,46%,76,18.49,6.17,250,,,
2022-01-05 16:50 (-08),Live,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2022-01-04 15:24 (-08),364,207,50%,84,21.37,10.41,517,,,
2022-01-07 20:07 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-10-14 07:00 (PST),,,,,,,,,,
2022-01-08 16:50 (-08),Live,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2022-01-08 10:24 (-08),427,237,52%,86,22.53,11.27,608,,,
2022-01-10 16:15 (-08),Live,Ben Alldis,30,Cycling,Music,30 min 90s Ride,2022-01-10 05:54 (-08),381,212,53%,79,21.41,10.71,542,,,
2022-01-12 17:15 (-08),Live,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2022-01-10 15:22 (-08),359,199,50%,82,20.90,10.45,510,,,
2022-01-12 19:54 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-11-09 07:00 (PST),,,,,,,,,,
2022-01-13 16:35 (-08),On Demand,,10,Cycling,Scenic Ride,10 min Playa Pacifica Park Ride,,130,216,50%,86,21.96,3.66,184,,,
2022-01-13 20:03 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-09-29 07:00 (PST),,,,,,,,,,
2022-01-14 19:56 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-03-16 10:00 (PST),,,,,,,,,,
2022-01-16 20:01 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-03-16 10:00 (PST),,,,,,,,,,
2022-01-17 19:56 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2020-11-10 13:30 (PST),,,,,,,,,,
2022-01-18 16:25 (-08),Live,Ben Alldis,30,Cycling,Intervals,30 min HIIT & Hills Ride,2022-01-18 11:54 (-08),329,183,50%,78,20.30,10.16,468,,,
2022-01-21 15:44 (PST),On Demand,Denis Morton,10,Meditation,Breathwork,10 min Breathwork,2022-01-21 07:00 (PST),,,,,,,,,,
2022-01-23 20:04 (PST),On Demand,Kirra Michel,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2022-01-21 07:00 (PST),,,,,,,,,,
2022-01-24 15:45 (-08),Live,Ben Alldis,30,Cycling,Music,30 min 80s Ride,2022-01-24 05:55 (-08),326,181,50%,77,20.12,10.06,464,,,
2022-01-24 20:03 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Calming Meditation,2022-01-24 05:36 (PST),,,,,,,,,,
2022-01-25 17:40 (-08),Live,Cody Rigsby,20,Cycling,Groove,20 min Groove Ride,2022-01-21 15:55 (-08),241,201,52%,77,20.98,7.00,343,,,
2022-01-25 20:16 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Calming Meditation,2020-07-24 07:00 (PST),,,,,,,,,,
2022-01-27 16:16 (-08),On Demand,Bradley Rose,30,Cycling,Intervals,30 min HIIT Ride,2022-01-20 11:55 (-08),347,193,50%,81,20.63,10.32,493,,,
2022-01-27 20:07 (PST),On Demand,Kristin McGee,5,Meditation,Mindfulness,5 min Seasonal Meditation,2022-01-27 07:00 (PST),,,,,,,,,,
2022-01-29 17:15 (-08),Live,Bradley Rose,30,Cycling,Music,30 min 2010s Ride,2022-01-29 01:00 (-08),376,209,51%,82,21.40,10.70,535,,,
2022-01-29 19:54 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2020-06-08 13:00 (PST),,,,,,,,,,
2022-01-30 20:01 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Calming Meditation,2020-09-22 07:00 (PST),,,,,,,,,,
2022-01-31 16:44 (-08),Live,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT & Hills Ride,2022-01-31 10:25 (-08),402,223,52%,84,21.87,10.94,572,,,
2022-02-01 17:09 (PST),On Demand,Daniel McKenna,5,Strength,Warm Up,5 min Full Body Warm Up,2022-02-01 07:00 (PST),,,,,,,2,,,
2022-02-01 20:02 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2022-02-01 15:35 (PST),,,,,,,,68.23,,
2022-02-03 15:20 (PST),On Demand,Daniel McKenna,10,Strength,Bodyweight,10 min Bodyweight Strength,2022-01-29 10:33 (PST),,,,,,,27,,,
2022-02-04 20:03 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2022-02-03 07:00 (PST),,,,,,,,,,
